iter	Passed	Remaining
400	24337	36354
401	24388	36279
402	24442	36209
403	24503	36148
404	24566	36090
405	24631	36036
406	24671	35946
407	24727	35879
408	24781	35809
409	24834	35736
410	24887	35665
411	24937	35590
412	24987	35515
413	25041	35445
414	25105	35390
415	25169	35334
416	25231	35276
417	25290	35212
418	25345	35144
419	25399	35075
420	25454	35007
421	25514	34946
422	25574	34884
423	25626	34812
424	25679	34742
425	25734	34675
426	25791	34609
427	25841	34536
428	25893	34464
429	25951	34400
430	26008	34335
431	26063	34268
432	26119	34202
433	26170	34129
434	26222	34058
435	26281	33997
436	26337	33931
437	26387	33858
438	26438	33785
439	26487	33710
440	26551	33655
441	26606	33589
442	26659	33519
443	26712	33450
444	26763	33379
445	26818	33313
446	26881	33255
447	26942	33197
448	27007	33142
449	27059	33073
450	27115	33007
451	27173	32945
452	27233	32884
453	27297	32829
454	27352	32762
455	27401	32689
456	27452	32618
457	27504	32549
458	27557	32480
459	27611	32413
460	27665	32346
461	27724	32285
462	27788	32229
463	27851	32173
464	27909	32111
465	27962	32042
466	28014	31973
467	28071	31910
468	28131	31850
469	28190	31789
470	28248	31726
471	28300	31658
472	28351	31588
473	28409	31525
474	28461	31457
475	28512	31387
476	28561	31315
477	28614	31248
478	28671	31185
479	28729	31123
480	28797	31072
481	28856	31012
482	28913	30949
483	28972	30887
484	29027	30823
485	29088	30764
486	29143	30699
487	29194	30630
488	29247	30562
489	29298	30493
490	29356	30432
491	29412	30369
492	29470	30307
493	29525	30242
494	29584	30182
495	29638	30116
496	29707	30065
497	29759	29998
498	29813	29932
499	29867	29867
500	29920	29800
501	29972	29733
502	30031	29673
503	30097	29620
504	30156	29559
505	30225	29508
506	30284	29448
507	30343	29388
508	30400	29325
509	30456	29261
510	30512	29198
511	30571	29138
512	30635	29082
513	30695	29023
514	30755	28964
515	30820	28909
516	30884	28853
517	30947	28796
518	30999	28729
519	31058	28669
520	31116	28608
521	31174	28546
522	31231	28484
523	31283	28418
524	31340	28355
525	31395	28291
526	31453	28230
527	31510	28168
528	31566	28105
529	31620	28041
530	31676	27977
531	31738	27920
532	31793	27856
533	31848	27792
534	31904	27729
535	31964	27671
536	32024	27611
537	32085	27552
538	32148	27495
539	32206	27435
540	32262	27372
541	32317	27308
542	32373	27246
543	32431	27185
544	32493	27127
545	32547	27063
546	32602	27000
547	32657	26936
548	32718	26878
549	32774	26815
550	32826	26749
551	32876	26682
552	32933	26620
553	32988	26557
554	33048	26498
555	33117	26446
556	33184	26393
557	33239	26329
558	33303	26273
559	33365	26215
560	33426	26157
561	33477	26090
562	33529	26025
563	33584	25962
564	33640	25899
565	33695	25836
566	33756	25778
567	33817	25720
568	33869	25654
569	33919	25588
570	33974	25525
571	34028	25461
572	34084	25400
573	34138	25336
574	34192	25272
575	34253	25214
576	34302	25147
577	34351	25080
578	34407	25018
579	34458	24953
580	34509	24887
581	34560	24821
582	34609	24755
583	34662	24690
584	34714	24626
585	34771	24565
586	34834	24508
587	34885	24443
588	34935	24377
589	34990	24315
590	35042	24250
591	35093	24186
592	35145	24121
593	35197	24057
594	35248	23992
595	35300	23928
596	35357	23867
597	35418	23810
598	35469	23745
599	35519	23679
600	35571	23615
601	35623	23552
602	35689	23496
603	35749	23438
604	35804	23376
605	35857	23313
606	35909	23249
607	35964	23187
608	36018	23125
609	36073	23063
610	36123	22998
611	36173	22933
612	36223	22868
613	36278	22807
614	36325	22740
615	36377	22677
616	36432	22615
617	36499	22561
618	36560	22503
619	36623	22446
620	36675	22383
621	36725	22318
622	36776	22255
623	36827	22191
