iter	MAPE	MAE
340	4.473660785	5704619.438
341	4.472833595	5697992.092
342	4.470650357	5695397.608
343	4.467839346	5690270.204
344	4.465923837	5687035.194
345	4.464151873	5684477.244
346	4.458380826	5679460.939
347	4.457266387	5676053.733
348	4.455359359	5669995.125
349	4.4529269	5666990.136
350	4.449588768	5661543.014
351	4.449205619	5656942.345
352	4.448181037	5654150.946
353	4.446540738	5650456.252
354	4.443920535	5646403.351
355	4.440849596	5641082.045
356	4.440597475	5634908.859
357	4.437593731	5631231.525
358	4.43631989	5626037.603
359	4.434218839	5620623.559
360	4.42873787	5617092.215
361	4.426324773	5613915.692
362	4.426461484	5606548.034
363	4.425635136	5602886.358
364	4.4260126	5597828.445
365	4.423900004	5589960.868
366	4.423122035	5583286.334
367	4.419166212	5579792.616
368	4.406574065	5576626.042
369	4.405384598	5572734.709
370	4.405181269	5568857.944
371	4.401387293	5563277.29
372	4.398614817	5560222.925
373	4.391977792	5556540.381
374	4.390785014	5553349.372
375	4.387782405	5548769.92
376	4.385813947	5544754.534
377	4.384084045	5540230.921
378	4.383050208	5535553.365
379	4.380534256	5531995.623
380	4.379565268	5528510.284
381	4.376734302	5524557.446
382	4.374822938	5521471.834
383	4.372895912	5516843.977
384	4.37255362	5514417.122
385	4.370498187	5506502.486
386	4.369223028	5502831.817
387	4.369133397	5501302.12
388	4.367291091	5499049.244
389	4.366186336	5496200.126
390	4.36506713	5492153.718
391	4.363326537	5489935.182
392	4.361083234	5485353.151
393	4.359067963	5482069.434
394	4.358503929	5478733.981
395	4.358209763	5476506.384
396	4.346605392	5471204.514
397	4.345589559	5469798.351
398	4.337905811	5466137.203
399	4.336722239	5463478.392
400	4.331055783	5458099.317
401	4.328283729	5454963.238
402	4.322763923	5449186.433
403	4.320012964	5444502.288
404	4.319373932	5440650.225
405	4.314559348	5434786.715
406	4.311800146	5431118.916
407	4.298360158	5428142.946
408	4.298622792	5425199.854
409	4.300547778	5421624.671
410	4.299518096	5417942.411
411	4.295997507	5413807.487
412	4.296840849	5411020.475
413	4.296316143	5407410.471
414	4.294618133	5403827.237
415	4.293613674	5399659.246
416	4.289170304	5397550.153
417	4.28978171	5394298.486
418	4.288278005	5389372.615
419	4.286361011	5386146.02
420	4.285035191	5383487.809
421	4.283914716	5379691.367
422	4.283656685	5376530.508
423	4.280005063	5372597.338
424	4.278436353	5367779.865
425	4.272574281	5364283.338
426	4.271626407	5360979.138
427	4.269297712	5356827.541
428	4.265681326	5350734.463
429	4.263171074	5346529.751
430	4.264056287	5342023.172
431	4.26273556	5339104.961
432	4.260529756	5335535.589
433	4.25940973	5332073.544
434	4.258696128	5328253.355
435	4.259289314	5325891.485
436	4.258484514	5321384.593
437	4.256927158	5318023.144
438	4.252655483	5314120.621
439	4.251865303	5310697.124
440	4.251506832	5308275.625
441	4.247565993	5306360.242
442	4.247503033	5303936.231
443	4.245283407	5300406.339
444	4.244555024	5297112.112
445	4.239093599	5293856.741
446	4.218151301	5289227.309
447	4.216393409	5285629.104
448	4.214443808	5282809.753
449	4.214217087	5279815.71
450	4.214527361	5277566.764
451	4.206765637	5275131.037
452	4.205281587	5272428.992
453	4.204180876	5268745.379
454	4.200195581	5264906.466
455	4.199229145	5262759.383
456	4.19865277	5260586.25
457	4.197509366	5257917.015
458	4.196078605	5256151.327
459	4.196241287	5252099.916
460	4.195874345	5250035.548
461	4.191128265	5246209.612
462	4.190726368	5242524.489
463	4.191419966	5239498.429
464	4.19016345	5236620
465	4.189301079	5233553.588
466	4.189404985	5230569.293
467	4.18835825	5227441.226
468	4.183202448	5223216.656
469	4.183725298	5218894.334
470	4.180194966	5216435.257
471	4.179529294	5214846.451
472	4.178113312	5211770.985
473	4.176888343	5209259.135
474	4.175412819	5205812.644
475	4.172792952	5203715.871
476	4.173009675	5201778.803
477	4.173086908	5199435.169
478	4.172777624	5196882.018
479	4.170835074	5193953.437
480	4.171026926	5191800.76
481	4.167647458	5186333.894
482	4.165568006	5182784.827
483	4.160163054	5179148.659
484	4.160057711	5176108.501
485	4.158998931	5172924.955
486	4.159060668	5169521.76
487	4.156882604	5166625.035
488	4.156072645	5162452.05
489	4.15651822	5160642.678
490	4.153510198	5157427.767
491	4.153408305	5154578.938
492	4.152346583	5152354.09
493	4.152618842	5150135.29
494	4.147696302	5145892.673
495	4.14716284	5143645.22
496	4.146698746	5138598.764
497	4.146579375	5136401.755
498	4.148370844	5132960.685
499	4.146489428	5129865.367
500	4.143029211	5126146.27
501	4.142553909	5123747.842
502	4.142255957	5121162.601
503	4.141361992	5117580.072
504	4.14052902	5116312.349
505	4.139795319	5113226.02
506	4.138895711	5110376.332
507	4.140018216	5107909.889
508	4.139765016	5105605.312
509	4.1356694	5102533.226
510	4.134775816	5100971.783
511	4.134434104	5097513.302
512	4.133746943	5095212.386
513	4.130413489	5090824.104
514	4.129026291	5088110.079
515	4.129014088	5086523.18
516	4.128535175	5084814.316
517	4.126422849	5083017.102
518	4.125315338	5081834.944
519	4.107101889	5075530.821
520	4.100408072	5073600.189
521	4.099842715	5071066.404
522	4.098358579	5067725.657
523	4.098150517	5064896.344
524	4.097774525	5061780.214
525	4.097760601	5059401.086
526	4.096196722	5057268.864
527	4.096075384	5055307.917
528	4.094854819	5052375.96
529	4.093848591	5050429.806
530	4.089685332	5046711.566
531	4.08943068	5042656.94
532	4.08828069	5037436.956
533	4.087953051	5035400.215
534	4.087960746	5031956.272
535	4.088170295	5029185.666
536	4.086896088	5027390.094
537	4.085207368	5023730.592
538	4.085545755	5022211.037
539	4.085563502	5019859.819
540	4.083726426	5016072.508
541	4.084347086	5014321.488
542	4.085052923	5009967.433
543	4.084119042	5006964.97
544	4.083527671	5004638.816
545	4.080305646	5002016.207
546	4.079891753	5001126.321
547	4.075876882	4998400.579
548	4.070966729	4996234.75
549	4.066097304	4992735.519
550	4.062177636	4988930.785
551	4.061690033	4987287.555
552	4.049936764	4983438.039
553	4.048651394	4981162.912
554	4.041060306	4978359.693
555	4.037118175	4973657.044
556	4.037695653	4972493.548
557	4.038206112	4970912.483
558	4.036348253	4968248.687
559	4.035532394	4965577.716
560	4.034907984	4962492.797
561	4.0337267	4960486.79
562	4.03343288	4958229.679
563	4.032081755	4955869.678
564	4.026786894	4952846.032
565	4.024033487	4951745.65
566	4.023522797	4950594.315
567	4.022724153	4948655.405
568	4.021718797	4946712.276
569	4.020478757	4943662.009
570	4.018993688	4940950.502
571	4.01698672	4938969.741
572	4.014480308	4936780.762
573	4.012546856	4934004.03
574	4.011364617	4931665.665
575	4.009136718	4928401.58
576	4.00695528	4925801.443
577	4.005668243	4923122.236
578	4.004810709	4920570.971
579	4.000326429	4918198.65
580	3.999799171	4915506.442
581	3.996316751	4912064.545
582	3.996130271	4909062.912
583	3.995209825	4907582.683
584	3.993398959	4905581.221
585	3.990294337	4902926.105
586	3.990665017	4899630.416
587	3.989097491	4896290.519
588	3.986882517	4892917.085
589	3.985841765	4890980.262
590	3.985943099	4887279.321
591	3.981481416	4883536.717
592	3.972824234	4880248.237
593	3.969796478	4877800.57
594	3.969516214	4874301.066
595	3.969446933	4872091.798
596	3.969054921	4870291.024
597	3.967931846	4868485.659
598	3.966702881	4866039.47
599	3.96639167	4864368.93
600	3.965737923	4862655.82
601	3.965831656	4861564.92
602	3.965414487	4859074.464
603	3.966207056	4857677.909
604	3.964325176	4855534.191
605	3.963862501	4853882.934
606	3.962846998	4852323.158
607	3.961839409	4849792.122
608	3.955392553	4847237.345
609	3.954818599	4845776.452
610	3.955758488	4844613.077
611	3.954496376	4842389.238
612	3.952616434	4840839.154
613	3.952456464	4838983.03
614	3.948900525	4835884.99
615	3.94614376	4833835.402
616	3.946118601	4830199.188
617	3.9455681	4827767.431
618	3.944093859	4824056.561
619	3.943543877	4821861.34
620	3.942471886	4818484.873
621	3.941401277	4816340.704
622	3.939528102	4814003.406
623	3.938033337	4812773.814
